,credit.policy,int.rate,installment,log.annual.inc,dti,days.with.cr.line,revol.bal,revol.util,delinq.2yrs,pub.rec,not.fully.paid,refi_possible,Loan_type
0,1,0.1095,471.08,11.28983191,12.4,3065.958333,9,0.0,0,0,0,1,3
1,1,0.1221,666.3,11.51292546,8.89,5400.0,20636,22.6,1,0,0,0,0
2,1,0.1148,52.75,11.12726298,9.21,3149.958333,2822,40.3,0,0,0,1,0
3,1,0.1632,847.53,11.28973191,14.93,3689.958333,30564,78.6,0,0,0,0,0
4,1,0.1114,262.43,12.07254125,15.13,9630.0,38107,69.9,0,0,0,1,0
5,1,0.16,421.89,11.46163217,11.86,6330.0,34057,63.9,0,0,1,0,3
6,1,0.0788,375.37,11.60823564,16.27,4793.0,12311,24.9,0,0,0,0,0
7,1,0.1496,866.13,11.22524339,6.3,7020.0,3793,14.3,0,0,0,0,3
8,1,0.1348,407.09,10.83170686,15.68,1590.041667,3792,55.8,0,0,0,1,0
9,1,0.1362,316.99,10.30895266,21.88,1601.041667,7429,82.5,0,0,0,1,0
10,1,0.1418,513.98,11.09741002,21.49,5400.0,24992,77.1,0,0,0,1,0
11,1,0.0938,447.68,10.30895266,21.76,5280.041667,19291,34.1,0,0,0,1,0
12,1,0.1316,607.87,10.71774556,18.82,1979.958333,17833,66.1,0,0,0,1,1
13,1,0.1186,265.18,10.858999,11.31,1560.0,5867,74.3,0,0,0,1,0
14,1,0.1273,134.27,10.77895629,11.68,4596.041667,303,43.3,1,0,1,0,3
15,1,0.0932,127.79,10.79949394,8.67,4050.0,34,0.3,0,0,0,1,1
16,1,0.1461,861.88,11.17043516,22.62,4140.041667,32484,52.7,0,0,0,1,0
17,1,0.1103,491.3,11.91582729,9.52,3780.041667,25870,56.1,1,0,1,0,0
18,1,0.1126,328.64,11.22524339,20.06,4529.958333,3404,72.4,0,0,0,0,0
19,1,0.1103,720.57,11.40756495,17.39,4470.0,18913,34.1,0,0,0,1,0
20,1,0.1565,314.88,11.00209984,15.42,4289.958333,16286,89.5,0,0,1,1,0
